# Optional curated GSE↔Atlas bridge for study-level enrichment.
# Never join Hub project_id (GSE*) to Atlas study_ID (ES*) by raw string equality.
# Rows with source=geo_ncbi are seeded from NCBI GEO pubmedids + Atlas PMID index.
#
gse_id	atlas_study_id	pmid	source
GSE40279	ES00054	23177740	geo_ncbi
GSE40360	ES00259	24270187	geo_ncbi
GSE43976	ES00656;ES00657	29109506	geo_ncbi
GSE44667	ES00496	23770704	geo_ncbi
GSE51057	ES00732	26244061	geo_ncbi
GSE52068	ES00685	26443805	geo_ncbi
GSE53045	ES00095	24559495	geo_ncbi
GSE54503	ES00435	23208076	geo_ncbi
GSE55763	ES00035	28002404	geo_ncbi
GSE56046	ES00065;ES00647	27903268;29166816	geo_ncbi
GSE56553	ES01095	25487561	geo_ncbi
GSE56581	ES00647	29166816	geo_ncbi
GSE57853	ES00601	29704316	geo_ncbi
GSE60132	ES00852	27564309	geo_ncbi
GSE60655	ES00127	25484259	geo_ncbi
GSE61496	ES00985;ES01787	29983834;34427971	geo_ncbi
GSE62640	ES00059	27029739	geo_ncbi
GSE64316	ES00437	25623364	geo_ncbi
GSE65057	ES00300;ES00502	26977391	geo_ncbi
GSE65097	ES01528;ES01529	33108347	geo_ncbi
GSE66351	ES01053;ES01054;ES01055;ES01056	30045751	geo_ncbi
GSE67116	ES00107	26181258	geo_ncbi
GSE68747	ES00686	26161907	geo_ncbi
GSE68777	ES00157	26147665	geo_ncbi
GSE69138	ES00297;ES00503;ES01911	26643952;36180927	geo_ncbi
GSE69229	ES00306;ES00307;ES00308;ES00309	26237075	geo_ncbi
GSE69270	ES01635	32583859	geo_ncbi
GSE69502	ES00263	26889207	geo_ncbi
GSE71678	ES00533;ES00867	26771251;29373860	geo_ncbi
GSE72774	ES00721;ES00722	28851441	geo_ncbi
GSE72776	ES00721;ES00722	28851441	geo_ncbi
GSE73745	ES00270;ES00271	26999364	geo_ncbi
GSE73894	ES00875	26743604	geo_ncbi
GSE74193	ES00498	26619358	geo_ncbi
GSE74548	ES00146;ES00147;ES00148;ES00149	26568774	geo_ncbi
GSE75196	ES00434	26968548	geo_ncbi
GSE75248	ES00533	29373860	geo_ncbi
GSE75679	ES00586	26966136	geo_ncbi
GSE77871	ES00804	26963385	geo_ncbi
GSE79329	ES00693;ES00694;ES00695	29492303	geo_ncbi
GSE80261	ES00248	27358653	geo_ncbi
GSE82084	ES00181;ES00182;ES00183;ES00184	28428831	geo_ncbi
GSE85566	ES00221	27942592	geo_ncbi
GSE85647	ES00262	28549776	geo_ncbi
GSE86961	ES00828	28469731	geo_ncbi
GSE87095	ES00830	28475762	geo_ncbi
GSE87640	ES00882	27886173	geo_ncbi
GSE87648	ES00882	27886173	geo_ncbi
GSE88883	ES00438	28693600	geo_ncbi
GSE88929	ES00249	28360945	geo_ncbi
GSE89852	ES01599	32685988	geo_ncbi
GSE92511	ES00120;ES00355;ES00356	28416970	geo_ncbi
GSE97466	ES00704;ES00705;ES00706	28938489	geo_ncbi
GSE97628	ES00767;ES00768;ES00769;ES00770;ES00771;ES00772;ES00773;ES00774;ES00775;ES00776;ES00777;ES00778;ES00779;ES00780;ES00781;ES00782;ES00783;ES00784;ES00785;ES00786;ES00787;ES00788;ES00789;ES00790;ES00791;ES00792;ES00793;ES00794;ES00795;ES00796;ES00797;ES00798;ES00799;ES00800;ES00801;ES00905	28556291	geo_ncbi
GSE98876	ES00817;ES00818	28747766	geo_ncbi
GSE99553	ES00573;ES00574	29574700	geo_ncbi
